PWSID,OFFICE,SYSTEMNAME,DESIGNCAPCITY,PLANTNUMBER,PLANTSTATUS,REPORTDATE,MAX_TREATED,AVG_TREATED
3424827,CD,CITRA HIGHLANDS,187200,1,ACTIVE,202301,17200,16158
3424827,CD,CITRA HIGHLANDS,187200,1,ACTIVE,202302,17500,15035
3424827,CD,CITRA HIGHLANDS,187200,1,ACTIVE,202303,22400,16583
3424827,CD,CITRA HIGHLANDS,187200,1,ACTIVE,202304,15500,14103
3424827,CD,CITRA HIGHLANDS,187200,1,ACTIVE,202305,16300,14780
3424827,CD,CITRA HIGHLANDS,187200,1,ACTIVE,202306,17600,15773
3424827,CD,CITRA HIGHLANDS,187200,1,ACTIVE,202307,16500,15277
3424827,CD,CITRA HIGHLANDS,187200,1,ACTIVE,202308,17200,15670
3424827,CD,CITRA HIGHLANDS,187200,1,ACTIVE,202309,17600,16020
3424827,CD,CITRA HIGHLANDS,187200,1,ACTIVE,202310,18500,16967
3424827,CD,CITRA HIGHLANDS,187200,1,ACTIVE,202311,23000,16333
3424827,CD,CITRA HIGHLANDS,187200,1,ACTIVE,202312,17600,16090
3424828,CD,FLORIDA STATE FIRE COLLEGE,158400,1,ACTIVE,202301,12900,4061
3424828,CD,FLORIDA STATE FIRE COLLEGE,158400,1,ACTIVE,202302,11900,5332
3424828,CD,FLORIDA STATE FIRE COLLEGE,158400,1,ACTIVE,202303,8500,3461
3424828,CD,FLORIDA STATE FIRE COLLEGE,158400,1,ACTIVE,202304,5500,3151
3424828,CD,FLORIDA STATE FIRE COLLEGE,158400,1,ACTIVE,202305,5100,2940
3424828,CD,FLORIDA STATE FIRE COLLEGE,158400,1,ACTIVE,202306,12500,6251
3424828,CD,FLORIDA STATE FIRE COLLEGE,158400,1,ACTIVE,202307,18100,11572
3424828,CD,FLORIDA STATE FIRE COLLEGE,158400,1,ACTIVE,202308,16000,10513
3424828,CD,FLORIDA STATE FIRE COLLEGE,158400,1,ACTIVE,202309,14800,7569
3424828,CD,FLORIDA STATE FIRE COLLEGE,158400,1,ACTIVE,202310,27800,5037
3424828,CD,FLORIDA STATE FIRE COLLEGE,158400,1,ACTIVE,202311,7000,3677
3424828,CD,FLORIDA STATE FIRE COLLEGE,158400,1,ACTIVE,202312,5800,2339
3424830,CD,VFW POST 10733,36000,1,ACTIVE,202301,260,227
