,PWSID,OFFICE,SYSTEMNAME,DESIGNCAPCITY,PLANTNUMBER,PLANTSTATUS,REPORTDATE,MAX_TREATED,AVG_TREATED
31920,5264094,SD,AZTECA #10,1500.0,1,ACTIVE,202305,910.0,366.0
31921,5264094,SD,AZTECA #10,1500.0,1,ACTIVE,202306,1730.0,776.0
31922,5264094,SD,AZTECA #10,1500.0,1,ACTIVE,202307,1320.0,698.0
31923,5264094,SD,AZTECA #10,1500.0,1,ACTIVE,202308,1480.0,503.0
31924,5264094,SD,AZTECA #10,1500.0,1,ACTIVE,202309,1030.0,488.0
31925,5264094,SD,AZTECA #10,1500.0,1,ACTIVE,202310,1350.0,622.0
31926,5264094,SD,AZTECA #10,1500.0,1,ACTIVE,202311,720.0,476.0
31927,5264094,SD,AZTECA #10,1500.0,1,ACTIVE,202312,770.0,462.0
31928,5264096,SD,MONTURA PLAZA LLC,5000.0,1,ACTIVE,202301,1577.0,975.0
31929,5264096,SD,MONTURA PLAZA LLC,5000.0,1,ACTIVE,202302,2740.0,2007.0
31930,5264096,SD,MONTURA PLAZA LLC,5000.0,1,ACTIVE,202303,2640.0,1642.0
31931,5264096,SD,MONTURA PLAZA LLC,5000.0,1,ACTIVE,202304,3090.0,2067.0
31932,5264096,SD,MONTURA PLAZA LLC,5000.0,1,ACTIVE,202305,3920.0,1796.0
31933,5264096,SD,MONTURA PLAZA LLC,5000.0,1,ACTIVE,202306,2620.0,1335.0
31934,5264096,SD,MONTURA PLAZA LLC,5000.0,1,ACTIVE,202307,3620.0,1112.0
31935,5264096,SD,MONTURA PLAZA LLC,5000.0,1,ACTIVE,202308,3520.0,890.0
31936,5264096,SD,MONTURA PLAZA LLC,5000.0,1,ACTIVE,202309,6710.0,2812.0
31937,5264096,SD,MONTURA PLAZA LLC,5000.0,1,ACTIVE,202310,7720.0,5017.0
31938,5264096,SD,MONTURA PLAZA LLC,5000.0,1,ACTIVE,202311,8750.0,5038.0
31939,5264096,SD,MONTURA PLAZA LLC,5000.0,1,ACTIVE,202312,7890.0,5313.0
31940,5264100,SD,AZTECA COUNTRY STORE #6,17000.0,1,ACTIVE,202301,3640.0,2420.0
31941,5264100,SD,AZTECA COUNTRY STORE #6,17000.0,1,ACTIVE,202302,2730.0,2101.0
31942,5264100,SD,AZTECA COUNTRY STORE #6,17000.0,1,ACTIVE,202303,5050.0,2378.0
31943,5264100,SD,AZTECA COUNTRY STORE #6,17000.0,1,ACTIVE,202304,8470.0,4326.0
31944,5264100,SD,AZTECA COUNTRY STORE #6,17000.0,1,ACTIVE,202305,10660.0,5846.0
31945,5264100,SD,AZTECA COUNTRY STORE #6,17000.0,1,ACTIVE,202306,8160.0,5133.0
31946,5264100,SD,AZTECA COUNTRY STORE #6,17000.0,1,ACTIVE,202307,3030.0,1658.0
31947,5264100,SD,AZTECA COUNTRY STORE #6,17000.0,1,ACTIVE,202308,2810.0,1981.0
31948,5264100,SD,AZTECA COUNTRY STORE #6,17000.0,1,ACTIVE,202309,4250.0,2257.0
31949,5264100,SD,AZTECA COUNTRY STORE #6,17000.0,1,ACTIVE,202310,4430.0,2340.0
31950,5264100,SD,AZTECA COUNTRY STORE #6,17000.0,1,ACTIVE,202311,3140.0,2256.0
31951,5264100,SD,AZTECA COUNTRY STORE #6,17000.0,1,ACTIVE,202312,4890.0,3396.0
31952,5264101,SD,AIRGLADES INDUSTRIAL PARK WTP,46875.0,1,ACTIVE,202301,22661.0,10934.0
31953,5264101,SD,AIRGLADES INDUSTRIAL PARK WTP,46875.0,1,ACTIVE,202302,27587.0,10117.0
31954,5264101,SD,AIRGLADES INDUSTRIAL PARK WTP,46875.0,1,ACTIVE,202303,28152.0,11766.0
31955,5264101,SD,AIRGLADES INDUSTRIAL PARK WTP,46875.0,1,ACTIVE,202304,32279.0,13043.0
31956,5264101,SD,AIRGLADES INDUSTRIAL PARK WTP,46875.0,1,ACTIVE,202305,28285.0,12163.0
31957,5264101,SD,AIRGLADES INDUSTRIAL PARK WTP,46875.0,1,ACTIVE,202306,34443.0,11040.0
31958,5264101,SD,AIRGLADES INDUSTRIAL PARK WTP,46875.0,1,ACTIVE,202307,23584.0,9169.0
31959,5264101,SD,AIRGLADES INDUSTRIAL PARK WTP,46875.0,1,ACTIVE,202308,31661.0,10203.0
31960,5264101,SD,AIRGLADES INDUSTRIAL PARK WTP,46875.0,1,ACTIVE,202309,16630.0,5486.0
31961,5264101,SD,AIRGLADES INDUSTRIAL PARK WTP,46875.0,1,ACTIVE,202310,29814.0,8790.0
31962,5264101,SD,AIRGLADES INDUSTRIAL PARK WTP,46875.0,1,ACTIVE,202311,13161.0,6763.0
31963,5264101,SD,AIRGLADES INDUSTRIAL PARK WTP,46875.0,1,ACTIVE,202312,29401.0,9834.0
31964,5264103,SD,RIVERBEND MOTORCOACH RESORT,60000.0,1,ACTIVE,202301,35070.0,29960.0
31965,5264103,SD,RIVERBEND MOTORCOACH RESORT,60000.0,1,ACTIVE,202302,38590.0,32530.0
31966,5264103,SD,RIVERBEND MOTORCOACH RESORT,60000.0,1,ACTIVE,202303,53940.0,33350.0
31967,5264103,SD,RIVERBEND MOTORCOACH RESORT,60000.0,1,ACTIVE,202304,36020.0,25330.0
31968,5264103,SD,RIVERBEND MOTORCOACH RESORT,60000.0,1,ACTIVE,202305,54800.0,27090.0
31969,5264103,SD,RIVERBEND MOTORCOACH RESORT,60000.0,1,ACTIVE,202306,25310.0,12560.0
31970,5264103,SD,RIVERBEND MOTORCOACH RESORT,60000.0,1,ACTIVE,202307,24250.0,14330.0
31971,5264103,SD,RIVERBEND MOTORCOACH RESORT,60000.0,1,ACTIVE,202308,21880.0,14760.0
31972,5264103,SD,RIVERBEND MOTORCOACH RESORT,60000.0,1,ACTIVE,202309,26200.0,18460.0
31973,5264103,SD,RIVERBEND MOTORCOACH RESORT,60000.0,1,ACTIVE,202310,26290.0,18430.0
31974,5264103,SD,RIVERBEND MOTORCOACH RESORT,60000.0,1,ACTIVE,202311,27690.0,21540.0
31975,5264103,SD,RIVERBEND MOTORCOACH RESORT,60000.0,1,ACTIVE,202312,28890.0,22390.0
31976,5264104,SD,"AZTECA SUPERCENTRO 2000, INC.",25000.0,1,ACTIVE,202301,7367.0,4322.0
31977,5264104,SD,"AZTECA SUPERCENTRO 2000, INC.",25000.0,1,ACTIVE,202302,8300.0,5700.0
31978,5264104,SD,"AZTECA SUPERCENTRO 2000, INC.",25000.0,1,ACTIVE,202303,10000.0,5448.0
31979,5264104,SD,"AZTECA SUPERCENTRO 2000, INC.",25000.0,1,ACTIVE,202304,7600.0,4163.0
31980,5264104,SD,"AZTECA SUPERCENTRO 2000, INC.",25000.0,1,ACTIVE,202305,9633.0,5230.0
31981,5264104,SD,"AZTECA SUPERCENTRO 2000, INC.",25000.0,1,ACTIVE,202306,10167.0,6285.0
31982,5264104,SD,"AZTECA SUPERCENTRO 2000, INC.",25000.0,1,ACTIVE,202307,6300.0,5140.0
31983,5264104,SD,"AZTECA SUPERCENTRO 2000, INC.",25000.0,1,ACTIVE,202308,5850.0,4066.0
31984,5264104,SD,"AZTECA SUPERCENTRO 2000, INC.",25000.0,1,ACTIVE,202309,8000.0,5567.0
31985,5264104,SD,"AZTECA SUPERCENTRO 2000, INC.",25000.0,1,ACTIVE,202310,6950.0,3861.0
31986,5264104,SD,"AZTECA SUPERCENTRO 2000, INC.",25000.0,1,ACTIVE,202311,20750.0,11115.0
31987,5264104,SD,"AZTECA SUPERCENTRO 2000, INC.",25000.0,1,ACTIVE,202312,13067.0,8287.0
31988,5264112,SD,RIVERLANDINGS WATER TREATMENT PLANT,31680.0,1,ACTIVE,202301,15810.0,1160.0
31989,5264112,SD,RIVERLANDINGS WATER TREATMENT PLANT,31680.0,1,ACTIVE,202302,15810.0,4890.0
31990,5264112,SD,RIVERLANDINGS WATER TREATMENT PLANT,31680.0,1,ACTIVE,202303,12210.0,4200.0
31991,5264112,SD,RIVERLANDINGS WATER TREATMENT PLANT,31680.0,1,ACTIVE,202304,10820.0,3020.0
31992,5264112,SD,RIVERLANDINGS WATER TREATMENT PLANT,31680.0,1,ACTIVE,202305,7080.0,1890.0
31993,5264112,SD,RIVERLANDINGS WATER TREATMENT PLANT,31680.0,1,ACTIVE,202306,8420.0,1370.0
